clip_name,can_detect_ultra_lenient,detection_rate_ultra_lenient,detected_frames,total_frames,issue
44_set1_rally26_ball4_Clear.mp4,True,57.377049180327866,35,61,low_confidence
44_set1_rally32_ball21_Smash.mp4,True,80.32786885245902,49,61,low_confidence
44_set3_rally4_ball13_Smash.mp4,True,81.9672131147541,50,61,low_confidence
24_set2_rally10_ball4_Smash.mp4,True,65.57377049180327,40,61,low_confidence
24_set2_rally40_ball20_Smash.mp4,True,59.01639344262295,36,61,low_confidence
24_set2_rally15_ball2_Clear.mp4,True,81.9672131147541,50,61,low_confidence
24_set2_rally40_ball14_Clear.mp4,True,62.295081967213115,38,61,low_confidence
24_set2_rally36_ball29_Smash.mp4,True,63.934426229508205,39,61,low_confidence
24_set2_rally3_ball18_Clear.mp4,True,62.295081967213115,38,61,low_confidence
24_set1_rally19_ball31_Smash.mp4,True,57.377049180327866,35,61,low_confidence
24_set3_rally12_ball20_Smash.mp4,True,70.49180327868852,43,61,low_confidence
24_set2_rally17_ball24_Clear.mp4,True,75.40983606557377,46,61,low_confidence
24_set2_rally1_ball8_Smash.mp4,True,50.81967213114754,31,61,low_confidence
22_set1_rally31_ball10_Clear.mp4,True,50.81967213114754,31,61,low_confidence
22_set2_rally11_ball6_Clear.mp4,True,47.540983606557376,29,61,low_confidence
22_set1_rally15_ball4_Clear.mp4,True,72.1311475409836,44,61,low_confidence
22_set2_rally9_ball8_Clear.mp4,True,62.295081967213115,38,61,low_confidence
22_set2_rally3_ball9_Clear.mp4,True,81.9672131147541,50,61,low_confidence
22_set2_rally29_ball20_Clear.mp4,True,47.540983606557376,29,61,low_confidence
22_set2_rally30_ball6_Clear.mp4,True,72.1311475409836,44,61,low_confidence
22_set2_rally30_ball9_Clear.mp4,True,70.49180327868852,43,61,low_confidence
22_set1_rally28_ball12_Clear.mp4,True,63.934426229508205,39,61,low_confidence
22_set2_rally29_ball26_Clear.mp4,True,98.36065573770492,60,61,low_confidence
31_set2_rally16_ball4_Smash.mp4,True,100.0,61,61,low_confidence
31_set1_rally8_ball9_Clear.mp4,True,98.36065573770492,60,61,low_confidence
31_set2_rally7_ball23_Clear.mp4,True,100.0,61,61,low_confidence
31_set2_rally20_ball12_Smash.mp4,True,98.36065573770492,60,61,low_confidence
31_set1_rally8_ball11_Clear.mp4,True,91.80327868852459,56,61,low_confidence
31_set1_rally23_ball2_Clear.mp4,True,100.0,61,61,low_confidence
31_set1_rally22_ball6_Clear.mp4,True,100.0,61,61,low_confidence
31_set2_rally23_ball7_Smash.mp4,True,98.36065573770492,60,61,low_confidence
31_set1_rally6_ball13_Clear.mp4,True,95.08196721311475,58,61,low_confidence
31_set2_rally7_ball6_Clear.mp4,True,100.0,61,61,low_confidence
