feature_idx,feature_name,cohens_d,abs_cohens_d,t_statistic,p_value,clear_mean,smash_mean,clear_std,smash_std
58,l_forearm_vertical_angle_vel,0.1406272284590915,0.1406272284590915,4.937330393296513,8.18007535309981e-07,0.013782623622801705,-0.09384974678458315,0.7816800368341292,0.7458847832351738
57,r_forearm_pitch_vel,0.12974298611161694,0.12974298611161694,4.555191734002866,5.359466303831672e-06,0.029107618418041034,-0.07011537246711708,0.8057996546781147,0.7144334571747682
51,r_forearm_vertical_angle_vel,0.1297429861116169,0.1297429861116169,4.5551917340028645,5.359466303831704e-06,0.029107618418041045,-0.07011537246711702,0.8057996546781147,0.7144334571747682
53,r_wrist_elbow_vertical_vel,-0.114421228795354,0.114421228795354,-4.017308048048101,5.973933356582053e-05,-3.254317612193881e-05,5.372048782890731e-05,0.0007713616076759601,0.0007330237566472924
59,l_wrist_elbow_vertical_vel,-0.09151091000367545,0.09151091000367545,-3.2129293874295475,0.001322303170622072,-2.5090004621805663e-05,4.664789715168334e-05,0.0007879482862092642,0.0007789246751916064
39,l_wrist_height_rel_vel,-0.07997237505758131,0.07997237505758131,-2.807799291574291,0.0050076530603181705,-2.6306531387649136e-05,7.896505913980692e-05,0.001326057198443526,0.0013045247234445584
45,r_shoulder_angle_vel,0.07774340215351898,0.07774340215351898,2.729520210028815,0.006365074276096776,-0.017879400207576498,-0.07948787821135894,0.8113365609859245,0.7698765743481438
50,arm_straightness_vel,-0.07237812106591489,0.07237812106591489,-2.5411585025632424,0.011078832519043263,-5.6471970680220144e-05,0.0001302756841930521,0.0026014362182426804,0.002554394457774174
44,r_elbow_angle_vel,-0.07060480834408017,0.07060480834408017,-2.4788888407939975,0.013212290089932837,-0.001719399932966778,0.04113346412466114,0.6223942916397264,0.5884366276419749
38,r_wrist_height_rel_vel,-0.07047129707245664,0.07047129707245664,-2.474219284628467,0.013386037184726168,-2.7073165197099974e-05,6.991068633432963e-05,0.0014092873422285421,0.0013366312644095583
55,r_arm_plane_pronation_vel,-0.06847444571748644,0.06847444571748644,-2.4040949468758606,0.01624906990131288,-8.293346043276921e-05,0.0008366492662083032,0.013441175786733784,0.013410403088937156
4,l_wrist_depth,0.04886912179654023,0.04886912179654023,1.7157632917911934,0.08626792530182599,-0.023856468170074033,-0.026862214248667304,0.06219418330947729,0.06067982801260799
34,l_wrist_depth_vel,0.047012241285961424,0.047012241285961424,1.650579836365477,0.09888781324005047,0.00017069130577658572,9.808837513588244e-05,0.0014880954964593001,0.0016057872928462431
40,r_wrist_height_from_head_vel,-0.04208249005982109,0.04208249005982109,-1.4774972628594545,0.13960598485735837,4.6534377854226605e-06,7.809027135886687e-05,0.0017821714435620948,0.0017007033046981133
24,r_wrist_horizontal_reach,-0.0414699366848238,0.0414699366848238,-1.4559827229811635,0.1454607896739241,0.07359160622709517,0.07577492932707136,0.05378888004856551,0.05128502976480446
1,l_arm_extension,-0.04133270299468459,0.04133270299468459,-1.4511644676235598,0.1467974110462745,0.08799234173818858,0.09089554331876314,0.0700555255361604,0.0704202962403909
7,body_forward_lean,-0.037551972989814844,0.037551972989814844,-1.3184255562636051,0.18742220500423432,-0.011767067611945905,-0.009872983095776335,0.04876522173052408,0.052272416165474934
43,shoulder_width_vel,-0.037151465406340026,0.037151465406340026,-1.3043898707415884,0.1921613071519707,-5.8024049244642346e-05,-3.948262430536821e-05,0.0005149938918966345,0.0004799165131865404
30,r_arm_extension_vel,-0.036288553460643094,0.036288553460643094,-1.2740779538854061,0.2026955803818122,-0.00012877361246179644,-8.472054229066826e-05,0.0012563695285126753,0.0011628391391493107
47,shoulder_rotation_vel,0.03495269103283297,0.03495269103283297,1.2271662056176043,0.21981846468828553,0.03856533148554682,-0.032774976187251906,2.074862514861565,2.0006556920072973
18,r_upper_arm_length,-0.03477252901817905,0.03477252901817905,-1.220841113806101,0.2222043090924849,0.0587136411772174,0.06020263345808411,0.042571074740642444,0.04308737564521731
21,r_forearm_vertical_angle,0.03274734493644662,0.03274734493644662,1.149737935958332,0.250307347336708,85.31673150011588,84.1683170039295,35.29035345609401,34.79783244337009
27,r_forearm_pitch,0.032747344936446515,0.032747344936446515,1.1497379359583282,0.2503073473367096,-4.683268499884117,-5.83168299607049,35.29035345609401,34.79783244337009
25,r_arm_plane_pronation,0.030272595773833507,0.030272595773833507,1.0628511227812547,0.287901298532823,0.02673370415236599,0.008006196848042048,0.6234770909045804,0.6127486074610526
0,r_arm_extension,-0.03005843367200106,0.03005843367200106,-1.0553321552424255,0.2913249237667052,0.10323822897510208,0.10548092813980457,0.07492817072433017,0.07421355990986167
15,r_shoulder_angle,0.029564217114799698,0.029564217114799698,1.0379803929321791,0.29932986289352614,67.25713416183552,66.30164374795163,32.41412049396319,32.195781600001325
56,r_arm_plane_vertical_vel,-0.028182002815493025,0.028182002815493025,-0.9894530468009786,0.3224898743409357,-8.531917467244296e-05,0.00012962616784856858,0.00759084719680839,0.007665052124920962
9,l_wrist_height_rel,0.027475577467181152,0.027475577467181152,0.9646497621709782,0.3347673703974632,0.022970245180611772,0.021157228670713756,0.06544887068690973,0.06656959700590753
